crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	18.424788	2539	0.000000
281474976710655.000000	14.934858	2540	0.000000
281474976710655.000000	19.912064	2541	0.000000
281474976710655.000000	19.756166	2542	0.000000
281474976710655.000000	12.950045	2543	0.000000
281474976710655.000000	19.238363	2544	0.000000
281474976710655.000000	15.723696	2545	0.000000
281474976710655.000000	21.482363	2546	0.000000
281474976710655.000000	14.796921	2547	0.000000
281474976710655.000000	18.337475	2548	0.000000
281474976710655.000000	13.628994	2549	0.000000
281474976710655.000000	12.250029	2550	0.000000
281474976710655.000000	14.885600	2551	0.000000
281474976710655.000000	21.850346	2552	0.000000
281474976710655.000000	12.189988	2553	0.000000
281474976710655.000000	14.633257	2554	0.000000
281474976710655.000000	13.998962	2555	0.000000
281474976710655.000000	16.342138	2556	0.000000
281474976710655.000000	15.927902	2557	0.000000
281474976710655.000000	18.274426	2558	0.000000
281474976710655.000000	14.554478	2559	0.000000
281474976710655.000000	15.269747	2560	0.000000
281474976710655.000000	15.604300	2561	0.000000
281474976710655.000000	12.407461	2562	0.000000
281474976710655.000000	15.416202	2563	0.000000
281474976710655.000000	13.555203	2564	0.000000
281474976710655.000000	12.149085	2565	0.000000
281474976710655.000000	15.251034	2566	0.000000
281474976710655.000000	13.249514	2567	0.000000
281474976710655.000000	16.309389	2568	0.000000
281474976710655.000000	15.262693	2569	0.000000
281474976710655.000000	20.349335	2570	0.000000
281474976710655.000000	12.764678	2571	0.000000
281474976710655.000000	15.713359	2572	0.000000
281474976710655.000000	14.623535	2573	0.000000
281474976710655.000000	15.180248	2574	0.000000
281474976710655.000000	12.379933	2575	0.000000
281474976710655.000000	16.259590	2576	0.000000
281474976710655.000000	12.340010	2577	0.000000
281474976710655.000000	14.883584	2578	0.000000
281474976710655.000000	15.860258	2579	0.000000
281474976710655.000000	11.744497	2580	0.000000
281474976710655.000000	15.536049	2581	0.000000
281474976710655.000000	13.974493	2582	0.000000
281474976710655.000000	15.430081	2583	0.000000
281474976710655.000000	12.877306	2584	0.000000
281474976710655.000000	18.643600	2585	0.000000
281474976710655.000000	11.862377	2586	0.000000
281474976710655.000000	19.664192	2587	0.000000
281474976710655.000000	12.647869	2588	0.000000
281474976710655.000000	14.388025	2589	0.000000
281474976710655.000000	13.657159	2590	0.000000
281474976710655.000000	13.946219	2591	0.000000
281474976710655.000000	12.018794	2592	0.000000
281474976710655.000000	18.358215	2593	0.000000
281474976710655.000000	12.113788	2594	0.000000
281474976710655.000000	13.901968	2595	0.000000
281474976710655.000000	19.873182	2596	0.000000
281474976710655.000000	14.427307	2597	0.000000
281474976710655.000000	15.073262	2598	0.000000
281474976710655.000000	17.159424	2599	0.000000
281474976710655.000000	13.166532	2600	0.000000
281474976710655.000000	18.206261	2601	0.000000
281474976710655.000000	16.907751	2602	0.000000
281474976710655.000000	15.829321	2603	0.000000
281474976710655.000000	18.278509	2604	0.000000
281474976710655.000000	14.093627	2605	0.000000
281474976710655.000000	14.815449	2606	0.000000
281474976710655.000000	15.529905	2607	0.000000
281474976710655.000000	13.977947	2608	0.000000
