num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
623	694.105107	50.255000	-3.091495	0.371719	15.217247
625	696.185306	50.232368	-3.101832	0.371052	17.240750
627	698.265944	50.079601	-3.126805	0.369905	15.956618
629	700.350184	50.062194	-3.134700	0.369246	15.646998
631	702.434976	49.995220	-3.149031	0.368329	15.716805
633	704.514859	49.884515	-3.165309	0.367885	16.666971
635	706.597281	49.824992	-3.172042	0.367231	16.372764
637	708.682371	49.714209	-3.179322	0.366548	14.843255
639	710.765668	49.675959	-3.197016	0.366149	16.319841
641	712.847772	49.623589	-3.211321	0.365905	16.665754
643	714.931322	49.555657	-3.214346	0.365633	15.771474
645	717.016098	49.465629	-3.245891	0.363577	15.088350
647	719.100467	49.451062	-3.248210	0.364279	16.218038
649	721.183649	49.386511	-3.268858	0.363129	16.718128
651	723.267435	49.327006	-3.278074	0.363430	15.373542
653	725.351709	49.235839	-3.292251	0.362883	15.040474
655	727.435769	49.157461	-3.298210	0.362439	16.139489
657	729.519964	49.051142	-3.322154	0.361363	15.815745
659	731.602925	48.942932	-3.320804	0.361571	15.969472
661	733.686925	48.936997	-3.346777	0.361205	14.547270
663	735.770190	48.834931	-3.348025	0.360538	15.256825
665	737.852754	48.798100	-3.362111	0.359964	15.951375
667	739.934772	48.694413	-3.376741	0.359489	15.284346
669	742.018632	48.637599	-3.385650	0.358249	14.994417
671	744.101402	48.563400	-3.391109	0.357907	15.528751
673	746.182808	48.490371	-3.404925	0.357187	15.290580
675	748.266236	48.402405	-3.410232	0.356322	14.321232
677	750.348942	48.440846	-3.426448	0.355606	15.445612
679	752.431085	48.339354	-3.436161	0.354998	15.508666
681	754.512666	48.316300	-3.437963	0.354315	14.982623
683	756.594384	48.240706	-3.441377	0.354437	14.886704
685	758.676074	48.147896	-3.466168	0.353891	15.412659
687	760.756872	48.115131	-3.464971	0.353534	14.445535
689	762.839630	48.131558	-3.484885	0.354180	13.768719
691	764.920015	48.052710	-3.498478	0.354423	15.058994
693	767.001113	47.947935	-3.515497	0.354771	14.416014
695	769.083859	47.873542	-3.524253	0.354900	14.078370
697	771.165383	47.773561	-3.545552	0.354244	14.816471
699	773.247130	47.642861	-3.548007	0.354240	14.782643
701	775.329407	47.583659	-3.561119	0.353580	14.349507
703	777.412209	47.468959	-3.576435	0.352851	14.569037
705	779.495169	47.390380	-3.590301	0.352391	14.957554
707	781.577911	47.299752	-3.595854	0.351374	14.139964
709	783.660358	47.238271	-3.604491	0.350626	14.270748
711	785.743273	47.180205	-3.622927	0.350101	14.085926
713	787.826535	47.118289	-3.626772	0.349222	14.428624
715	789.909855	46.999257	-3.635309	0.348848	13.739151
717	791.992891	46.983268	-3.649639	0.348117	14.012153
719	794.075597	46.930557	-3.675503	0.346731	14.176640
721	796.160504	46.832811	-3.671936	0.347045	13.976000
723	798.244135	46.773840	-3.679920	0.346547	13.862903
725	800.329068	46.763774	-3.684716	0.345851	14.043033
727	802.412400	46.629655	-3.701935	0.345313	14.420150
729	804.496169	46.624713	-3.708207	0.344764	14.077440
731	806.578880	46.593680	-3.722267	0.344165	13.733039
733	808.664492	46.428007	-3.732970	0.343775	13.577656
735	810.748864	46.392399	-3.743980	0.343154	14.343134
737	812.830995	46.311608	-3.772170	0.342644	13.523097
739	814.914086	46.220688	-3.777485	0.342432	13.781996
741	816.997271	46.220652	-3.799358	0.341697	14.209743
743	819.080224	46.110124	-3.801435	0.340989	14.244980
745	821.162276	46.070324	-3.821824	0.340204	14.065125
747	823.245381	45.961478	-3.825019	0.339480	14.283716
749	825.328197	45.891000	-3.833417	0.338841	12.642273
751	827.411108	45.865258	-3.843652	0.338496	13.465582
753	829.493455	45.783122	-3.857883	0.337559	14.274446
755	831.575543	45.726213	-3.865571	0.336758	13.582689
757	833.658009	45.696207	-3.876645	0.336108	13.034971
759	835.738854	45.667060	-3.876469	0.335912	13.426001
761	837.821260	45.601388	-3.894221	0.335153	13.379247
763	839.901965	45.580384	-3.903372	0.335037	13.675170
765	841.984180	45.467095	-3.912481	0.335130	13.723786
767	844.065882	45.460325	-3.923495	0.335291	13.415175
769	846.147052	45.388193	-3.931934	0.335263	13.648297
771	848.229051	45.275048	-3.944246	0.335403	13.504123
773	850.310682	45.222655	-3.959465	0.335328	12.890265
775	852.392381	45.158928	-3.964437	0.335177	12.878768
777	854.474106	45.053501	-3.984381	0.334609	12.787740
779	856.557173	44.968674	-3.984565	0.334392	13.159453
781	858.639241	44.886364	-3.999445	0.333746	12.745830
783	860.722329	44.858616	-4.003382	0.332973	13.259025
785	862.804007	44.783948	-4.033113	0.331730	13.309361
787	864.887837	44.707653	-4.031711	0.331302	12.886290
789	866.971279	44.652527	-4.047296	0.330681	12.417739
791	869.053737	44.616343	-4.053933	0.329938	12.682169
793	871.135993	44.532143	-4.054807	0.329276	12.811676
795	873.220741	44.493675	-4.056338	0.328551	12.153517
797	875.304150	44.442053	-4.074172	0.328161	12.625497
799	877.387527	44.384280	-4.079465	0.327738	12.726374
801	879.470800	44.328651	-4.102160	0.326356	12.823888
