num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4585	4860.413061	31.209896	0.496216	0.490554	5.549492
4587	4862.496874	31.198233	0.469307	0.490146	6.605525
4589	4864.579303	31.177776	0.458534	0.489355	6.206373
4591	4866.664142	31.584976	0.525677	0.484688	6.633150
4593	4868.746674	31.331489	1.755107	0.484971	5.505444
4595	4870.825444	31.850161	0.877858	0.485253	6.310832
4597	4872.904132	32.142864	0.440475	0.488395	6.556426
4599	4874.981767	31.868858	2.794653	0.486699	7.393717
4601	4877.061561	32.398344	0.383383	0.494795	6.805699
4603	4879.144653	33.755990	-0.915623	0.518252	6.420376
4605	4881.229032	32.486002	1.464492	0.479152	6.266228
4607	4883.309905	33.012148	0.681805	0.482076	7.032162
4609	4885.396353	33.536496	0.393402	0.503010	6.858776
4611	4887.481275	32.756763	-2.360636	0.509651	6.970193
4613	4889.565125	33.874163	0.328797	0.501337	6.509400
4615	4891.649748	33.459489	0.281898	0.496046	7.096713
4617	4893.732076	34.870834	-0.231234	0.484785	7.253534
4619	4895.815144	33.815096	4.030374	0.491038	7.675112
4621	4897.897525	34.171820	0.170096	0.480797	6.978813
4623	4899.979204	34.211426	0.132890	0.488530	7.186302
4625	4902.062848	34.547694	-1.503684	0.497088	7.985497
4627	4904.143964	34.513236	1.693762	0.473055	7.107377
4629	4906.227266	34.781460	0.128655	0.480440	7.449524
4631	4908.313154	35.919295	0.092609	0.499494	7.328584
4633	4910.394647	36.392230	-1.872648	0.503809	7.676971
4635	4912.481973	35.369460	0.011181	0.489578	7.966810
4637	4914.568247	35.019180	-5.492055	0.500051	8.208824
4639	4916.655935	36.162311	0.074366	0.490824	8.062169
4641	4918.741766	36.069878	-5.573000	0.493317	8.183029
4643	4920.829189	36.153439	1.157431	0.489742	8.328230
4645	4922.911961	36.287123	1.517896	0.491330	8.349423
4647	4924.995560	36.979580	0.068931	0.496190	8.293775
4649	4927.079570	36.924133	-0.128473	0.482605	8.485047
4651	4929.162910	36.718028	2.374623	0.484815	8.652680
4653	4931.245209	38.118271	1.927540	0.474198	8.705621
4655	4933.327876	38.128405	-0.068595	0.498410	8.864910
4657	4935.412312	38.536073	-2.476396	0.495146	8.535043
4659	4937.495029	37.807431	1.761698	0.481538	8.669248
4661	4939.578891	37.927445	-0.174278	0.489509	9.085026
4663	4941.663246	38.338368	-0.164491	0.483857	8.808912
4665	4943.745314	38.330173	-0.230833	0.488534	8.902646
4667	4945.829931	38.639129	-4.976506	0.501979	9.164462
4669	4947.912588	39.246656	2.002214	0.481594	9.208225
4671	4949.995522	39.358235	1.726876	0.485859	9.334006
4673	4952.075650	39.310044	-0.281958	0.483547	9.268139
4675	4954.155374	39.509884	3.182797	0.483309	9.995455
4677	4956.235998	39.678232	-0.339271	0.485232	9.894056
4679	4958.317302	39.874762	-0.394646	0.485527	10.143836
4681	4960.399387	40.113266	-0.327570	0.493200	9.829898
4683	4962.480101	41.561961	-1.928002	0.494032	10.322754
4685	4964.564144	41.177381	1.936659	0.482110	10.186167
4687	4966.647740	40.782301	4.562567	0.473003	9.890356
4689	4968.732174	41.484003	-0.309402	0.497131	10.519327
4691	4970.816183	41.120738	-0.294306	0.499560	10.306693
4693	4972.899791	41.206796	-3.969058	0.489077	10.588675
4695	4974.983679	41.475504	-0.522783	0.480453	11.206550
4697	4977.066321	41.672712	-0.525932	0.480989	10.716203
4699	4979.149851	42.182977	2.535907	0.485117	10.846482
4701	4981.233599	43.288119	-0.474298	0.497651	11.044175
4703	4983.316171	42.454290	-0.515150	0.481576	11.489600
4705	4985.400324	42.441177	-0.578368	0.481208	11.397805
4707	4987.483453	42.741146	-0.598204	0.482539	11.345576
4709	4989.567273	42.807557	-0.624636	0.483387	11.769445
4711	4991.650102	43.940251	-0.596810	0.493123	11.795029
