time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
4293.522335	49.349659	0.024213	2.038147	209
4294.534996	53.376797	0.024219	2.203925	210
4295.602198	49.741875	0.024209	2.054720	211
4296.625397	50.729103	0.024211	2.095327	212
4297.684167	46.851463	0.024180	1.937649	213
4298.713612	51.382626	0.024230	2.120599	214
4299.761222	49.982761	0.024176	2.067481	215
4300.806308	49.073692	0.024168	2.030534	216
4301.843391	51.828037	0.024174	2.143919	217
4302.893034	53.555523	0.024172	2.215577	218
4303.931413	52.623913	0.024181	2.176265	219
4304.971370	51.521240	0.024166	2.131933	220
4306.021445	53.683163	0.024168	2.221256	221
4307.054174	57.280029	0.024216	2.365412	222
4308.112756	53.546509	0.024196	2.212993	223
4309.130749	57.167637	0.024126	2.369573	224
4310.199183	49.334446	0.024168	2.041349	225
4311.213288	53.869720	0.024155	2.230181	226
4312.285657	52.209328	0.024169	2.160159	227
4313.301813	57.800911	0.024193	2.389157	228
4314.364222	52.279648	0.024178	2.162287	229
4315.391788	55.334831	0.024148	2.291471	230
4316.446284	54.117466	0.024169	2.239167	231
4317.479320	55.998772	0.024159	2.317911	232
4318.527362	55.741604	0.024170	2.306279	233
4319.567280	56.673340	0.024201	2.341762	234
4320.610487	55.930031	0.024156	2.315398	235
4321.651342	56.226318	0.024171	2.326149	236
4322.692656	55.387142	0.024190	2.289642	237
4323.739549	55.780224	0.024162	2.308638	238
4324.777702	57.694149	0.024188	2.385283	239
4325.823921	56.635002	0.024189	2.341393	240
4326.862753	56.971222	0.024167	2.357395	241
4327.907219	58.090038	0.024157	2.404702	242
4328.947750	58.538029	0.024181	2.420866	243
4329.992502	56.326794	0.024156	2.331789	244
4331.031192	57.255932	0.024134	2.372402	245
4332.078001	57.513565	0.024119	2.384607	246
4333.118976	58.360973	0.024207	2.410912	247
4334.160083	58.421680	0.024149	2.419243	248
4335.204534	58.770081	0.024194	2.429109	249
4336.242015	57.944427	0.024158	2.398550	250
4337.292031	56.919266	0.024145	2.357404	251
4338.323767	58.353123	0.024150	2.416322	252
4339.381067	56.503849	0.024177	2.337121	253
4340.404285	60.172577	0.024159	2.490684	254
4341.468251	57.139057	0.024150	2.366001	255
4342.485936	58.894058	0.024144	2.439277	0
4343.551741	57.864708	0.024139	2.397109	1
4344.570905	61.559650	0.024203	2.543519	2
