crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	8.115638	1386	0.000000
281474976710655.000000	7.495368	1387	0.000000
281474976710655.000000	7.675011	1388	1493054336.000000
281474976710655.000000	8.081164	1389	1494095744.000000
281474976710655.000000	7.856215	1390	1495136896.000000
281474976710655.000000	7.734477	1391	1496179968.000000
281474976710655.000000	8.094492	1392	1497223168.000000
281474976710655.000000	8.008836	1393	1498265216.000000
281474976710655.000000	7.942193	1394	1499309312.000000
281474976710655.000000	8.064399	1395	1500352768.000000
281474976710655.000000	8.248151	1396	1501392512.000000
281474976710655.000000	8.058329	1397	1502433792.000000
281474976710655.000000	8.173555	1398	1503479936.000000
281474976710655.000000	8.289607	1399	1504521088.000000
281474976710655.000000	8.480459	1400	1505564032.000000
281474976710655.000000	8.395438	1401	1506605568.000000
281474976710655.000000	8.924623	1402	1507650048.000000
281474976710655.000000	8.549929	1403	1508689536.000000
281474976710655.000000	8.482251	1404	1509735296.000000
281474976710655.000000	8.607884	1405	1510773248.000000
281474976710655.000000	8.919261	1406	1511822208.000000
281474976710655.000000	8.979142	1407	1512856448.000000
281474976710655.000000	8.813159	1408	1513906944.000000
281474976710655.000000	9.104315	1409	1514940288.000000
281474976710655.000000	8.967896	1410	1515995648.000000
281474976710655.000000	8.689706	1411	1517024000.000000
281474976710655.000000	9.269197	1412	1518082560.000000
281474976710655.000000	9.317679	1413	1519104896.000000
281474976710655.000000	9.274792	1414	1520169088.000000
281474976710655.000000	9.707912	1415	1521188736.000000
281474976710655.000000	9.421267	1416	1522254976.000000
281474976710655.000000	9.662008	1417	1523272320.000000
281474976710655.000000	9.627872	1418	1524341248.000000
281474976710655.000000	9.695828	1419	1525356160.000000
281474976710655.000000	9.706725	1420	1526427008.000000
281474976710655.000000	10.022434	1421	1527439744.000000
281474976710655.000000	9.861165	1422	1528513536.000000
281474976710655.000000	9.960924	1423	1529524224.000000
281474976710655.000000	9.982566	1424	1530598272.000000
281474976710655.000000	10.070697	1425	1531608960.000000
281474976710655.000000	10.213361	1426	1532681984.000000
281474976710655.000000	10.137235	1427	1533692416.000000
281474976710655.000000	10.192728	1428	1534768640.000000
281474976710655.000000	10.318509	1429	1535777408.000000
281474976710655.000000	10.201067	1430	1536852480.000000
281474976710655.000000	10.562200	1431	1537861888.000000
281474976710655.000000	10.561993	1432	1538936064.000000
281474976710655.000000	10.847440	1433	1539947264.000000
281474976710655.000000	10.761397	1434	1541020800.000000
281474976710655.000000	10.957215	1435	1542031872.000000
281474976710655.000000	10.987618	1436	1543105280.000000
281474976710655.000000	10.801871	1437	1544116608.000000
281474976710655.000000	11.049304	1438	1545188736.000000
281474976710655.000000	11.021375	1439	1546201216.000000
281474976710655.000000	11.129788	1440	1547272576.000000
281474976710655.000000	10.965185	1441	1548286464.000000
281474976710655.000000	11.363168	1442	1549355648.000000
