phase	duration(ms)	avg. energy(mJ)	#1/2 cycles	elapsed time(s)	lifetime(amp^2)(s)	energy change(mJ)	coil energy(mJ)	energy loss(mJ)	(energy change+energy loss)/coil energy
40	5	4.75	122	127.1	698	1.5	2.9	0.865	0.816
40	5	2.7	120	125	698	1.4	2.5	0.4818	0.753
40	5	3.6	120	125	698	1.6	2.7	0.6115	0.819
40	7	5.4	120	125	739	2.4	3.8	0.9148	0.872
40	7	4.5	121	127.1	739	2.7	4	0.7751	0.86
40	7	4.6	122	127.2	739	2.6	4	0.7829	0.828
40	9	5.3	120	125.1	739	3.6	4.7	0.8975	0.96
40	9	4.6	120	127.2	739	3.6	4.9	0.7763	0.887
40	9	4.8	120	125.1	739	3.7	4.8	0.818	0.941
30	5	4.1	121	127.1	739	2.4	3.8	0.7042	0.827
30	5	4.8	126	133.4	739	2.9	4.3	0.8604	0.89
30	5	3.3	120	125	739	2.4	3.3	0.5639	0.874
30	7	4.1	121	127.1	739	3.8	5.1	0.7013	0.885
30	7	5.3	123	131.3	739	4.1	5.6	0.9231	0.887
30	7	4.7	121	129.2	739	4	5.3	0.7946	0.91
30	9	6.9	121	129.2	739	4.6	7	1.177	0.82
30	9	4.7	120	127.2	739	4.5	6.5	0.7966	0.818
30	9	5.8	120	125.1	739	4.9	6.8	0.9883	0.866
20	5	4.3	121	129.2	739	2.5	3.6	0.7311	0.88
20	5	4.1	120	127.1	739	2.4	3.5	0.6922	0.889
20	5	3.6	121	127.1	739	2.1	3.2	0.606	0.868
20	7	4.3	120	127.1	739	3.6	4.9	0.7284	0.892
20	7	3.8	120	127.1	739	3.3	4.3	0.6435	0.904
20	7	6.1	120	127.1	739	4.8	6.3	1.03	0.92
